source,ell,r,k,a,b,N,door,r_mod3,m0,m1,v2_door,exact_2_door,cof_primes,gold_primes,match_mod3_rule
germain,5,11,1,,,,m0,2,10,12,1,True,1,5,True
germain,5,31,3,,,,m1,1,32,30,1,True,3,-,True
germain,5,41,4,,,,m0,2,40,42,3,False,1,5,True
germain,5,61,6,,,,m1,1,62,60,2,False,3,31,True
germain,5,71,7,,,,m0,2,70,72,1,True,7,5;7,True
germain,5,101,10,,,,m0,2,100,102,2,False,1,5,True
germain,5,131,13,,,,m0,2,130,132,1,True,13,5;13,True
germain,5,151,15,,,,m1,1,152,150,1,True,3,19,True
germain,5,181,18,,,,m1,1,182,180,2,False,3,7;13,True
germain,5,191,19,,,,m0,2,190,192,1,True,19,5;19,True
germain,5,211,21,,,,m1,1,212,210,1,True,3;7,53,True
germain,5,241,24,,,,m1,1,242,240,4,False,3,11,True
germain,5,251,25,,,,m0,2,250,252,1,True,1,5,True
germain,5,271,27,,,,m1,1,272,270,1,True,3,17,True
germain,5,281,28,,,,m0,2,280,282,3,False,7,5;7,True
germain,5,311,31,,,,m0,2,310,312,1,True,31,5;31,True
germain,5,331,33,,,,m1,1,332,330,1,True,3;11,83,True
germain,5,401,40,,,,m0,2,400,402,4,False,1,5,True
germain,5,421,42,,,,m1,1,422,420,2,False,3;7,211,True
germain,5,431,43,,,,m0,2,430,432,1,True,43,5;43,True
germain,5,461,46,,,,m0,2,460,462,2,False,23,5;23,True
germain,5,491,49,,,,m0,2,490,492,1,True,7,5;7,True
germain,5,521,52,,,,m0,2,520,522,3,False,13,5;13,True
germain,5,541,54,,,,m1,1,542,540,2,False,3,271,True
germain,5,571,57,,,,m1,1,572,570,1,True,3;19,11;13,True
germain,5,601,60,,,,m1,1,602,600,3,False,3,7;43,True
germain,5,631,63,,,,m1,1,632,630,1,True,3;7,79,True
germain,5,641,64,,,,m0,2,640,642,7,False,1,5,True
germain,5,661,66,,,,m1,1,662,660,2,False,3;11,331,True
germain,5,691,69,,,,m1,1,692,690,1,True,3;23,173,True
germain,5,701,70,,,,m0,2,700,702,2,False,7,5;7,True
germain,5,751,75,,,,m1,1,752,750,1,True,3,47,True
germain,5,761,76,,,,m0,2,760,762,3,False,19,5;19,True
germain,5,811,81,,,,m1,1,812,810,1,True,3,7;29,True
germain,5,821,82,,,,m0,2,820,822,2,False,41,5;41,True
germain,5,881,88,,,,m0,2,880,882,4,False,11,5;11,True
germain,5,911,91,,,,m0,2,910,912,1,True,7;13,5;7;13,True
germain,5,941,94,,,,m0,2,940,942,2,False,47,5;47,True
germain,5,971,97,,,,m0,2,970,972,1,True,97,5;97,True
germain,5,991,99,,,,m1,1,992,990,1,True,3;11,31,True
germain,5,1021,102,,,,m1,1,1022,1020,2,False,3;17,7;73,True
germain,5,1031,103,,,,m0,2,1030,1032,1,True,103,5;103,True
germain,5,1051,105,,,,m1,1,1052,1050,1,True,3;7,263,True
germain,5,1061,106,,,,m0,2,1060,1062,2,False,53,5;53,True
germain,5,1091,109,,,,m0,2,1090,1092,1,True,109,5;109,True
germain,5,1151,115,,,,m0,2,1150,1152,1,True,23,5;23,True
germain,5,1171,117,,,,m1,1,1172,1170,1,True,3;13,293,True
germain,5,1181,118,,,,m0,2,1180,1182,2,False,59,5;59,True
germain,5,1201,120,,,,m1,1,1202,1200,4,False,3,601,True
germain,5,1231,123,,,,m1,1,1232,1230,1,True,3;41,7;11,True
germain,5,1291,129,,,,m1,1,1292,1290,1,True,3;43,17;19,True
germain,5,1301,130,,,,m0,2,1300,1302,2,False,13,5;13,True
germain,5,1321,132,,,,m1,1,1322,1320,3,False,3;11,661,True
germain,5,1361,136,,,,m0,2,1360,1362,4,False,17,5;17,True
germain,5,1381,138,,,,m1,1,1382,1380,2,False,3;23,691,True
germain,5,1451,145,,,,m0,2,1450,1452,1,True,29,5;29,True
germain,5,1471,147,,,,m1,1,1472,1470,1,True,3;7,23,True
germain,5,1481,148,,,,m0,2,1480,1482,3,False,37,5;37,True
germain,5,1511,151,,,,m0,2,1510,1512,1,True,151,5;151,True
germain,5,1531,153,,,,m1,1,1532,1530,1,True,3;17,383,True
germain,5,1571,157,,,,m0,2,1570,1572,1,True,157,5;157,True
germain,5,1601,160,,,,m0,2,1600,1602,6,False,1,5,True
germain,5,1621,162,,,,m1,1,1622,1620,2,False,3,811,True
germain,5,1721,172,,,,m0,2,1720,1722,3,False,43,5;43,True
germain,5,1741,174,,,,m1,1,1742,1740,2,False,3;29,13;67,True
germain,5,1801,180,,,,m1,1,1802,1800,3,False,3,17;53,True
germain,5,1811,181,,,,m0,2,1810,1812,1,True,181,5;181,True
germain,5,1831,183,,,,m1,1,1832,1830,1,True,3;61,229,True
germain,5,1861,186,,,,m1,1,1862,1860,2,False,3;31,7;19,True
germain,5,1871,187,,,,m0,2,1870,1872,1,True,11;17,5;11;17,True
germain,5,1901,190,,,,m0,2,1900,1902,2,False,19,5;19,True
germain,5,1931,193,,,,m0,2,1930,1932,1,True,193,5;193,True
germain,5,1951,195,,,,m1,1,1952,1950,1,True,3;13,61,True
germain,5,2011,201,,,,m1,1,2012,2010,1,True,3;67,503,True
germain,5,2081,208,,,,m0,2,2080,2082,5,False,13,5;13,True
germain,5,2111,211,,,,m0,2,2110,2112,1,True,211,5;211,True
germain,5,2131,213,,,,m1,1,2132,2130,1,True,3;71,13;41,True
germain,5,2141,214,,,,m0,2,2140,2142,2,False,107,5;107,True
germain,5,2161,216,,,,m1,1,2162,2160,4,False,3,23;47,True
germain,5,2221,222,,,,m1,1,2222,2220,2,False,3;37,11;101,True
germain,5,2251,225,,,,m1,1,2252,2250,1,True,3,563,True
germain,5,2281,228,,,,m1,1,2282,2280,3,False,3;19,7;163,True
germain,5,2311,231,,,,m1,1,2312,2310,1,True,3;7;11,17,True
germain,5,2341,234,,,,m1,1,2342,2340,2,False,3;13,1171,True
germain,5,2351,235,,,,m0,2,2350,2352,1,True,47,5;47,True
germain,5,2371,237,,,,m1,1,2372,2370,1,True,3;79,593,True
germain,5,2381,238,,,,m0,2,2380,2382,2,False,7;17,5;7;17,True
germain,5,2411,241,,,,m0,2,2410,2412,1,True,241,5;241,True
germain,5,2441,244,,,,m0,2,2440,2442,3,False,61,5;61,True
germain,5,2521,252,,,,m1,1,2522,2520,3,False,3;7,13;97,True
germain,5,2531,253,,,,m0,2,2530,2532,1,True,11;23,5;11;23,True
germain,5,2551,255,,,,m1,1,2552,2550,1,True,3;17,11;29,True
germain,5,2591,259,,,,m0,2,2590,2592,1,True,7;37,5;7;37,True
germain,5,2621,262,,,,m0,2,2620,2622,2,False,131,5;131,True
germain,5,2671,267,,,,m1,1,2672,2670,1,True,3;89,167,True
germain,5,2711,271,,,,m0,2,2710,2712,1,True,271,5;271,True
germain,5,2731,273,,,,m1,1,2732,2730,1,True,3;7;13,683,True
germain,5,2741,274,,,,m0,2,2740,2742,2,False,137,5;137,True
germain,5,2791,279,,,,m1,1,2792,2790,1,True,3;31,349,True
germain,5,2801,280,,,,m0,2,2800,2802,4,False,7,5;7,True
germain,5,2851,285,,,,m1,1,2852,2850,1,True,3;19,23;31,True
germain,5,2861,286,,,,m0,2,2860,2862,2,False,11;13,5;11;13,True
germain,5,2971,297,,,,m1,1,2972,2970,1,True,3;11,743,True
germain,5,3001,300,,,,m1,1,3002,3000,3,False,3,19;79,True
germain,5,3011,301,,,,m0,2,3010,3012,1,True,7;43,5;7;43,True
germain,5,3041,304,,,,m0,2,3040,3042,5,False,19,5;19,True
germain,5,3061,306,,,,m1,1,3062,3060,2,False,3;17,1531,True
germain,5,3121,312,,,,m1,1,3122,3120,4,False,3;13,7;223,True
germain,5,3181,318,,,,m1,1,3182,3180,2,False,3;53,37;43,True
germain,5,3191,319,,,,m0,2,3190,3192,1,True,11;29,5;11;29,True
germain,5,3221,322,,,,m0,2,3220,3222,2,False,7;23,5;7;23,True
germain,5,3251,325,,,,m0,2,3250,3252,1,True,13,5;13,True
germain,5,3271,327,,,,m1,1,3272,3270,1,True,3;109,409,True
germain,5,3301,330,,,,m1,1,3302,3300,2,False,3;11,13;127,True
germain,5,3331,333,,,,m1,1,3332,3330,1,True,3;37,7;17,True
germain,5,3361,336,,,,m1,1,3362,3360,5,False,3;7,41,True
germain,5,3371,337,,,,m0,2,3370,3372,1,True,337,5;337,True
germain,5,3391,339,,,,m1,1,3392,3390,1,True,3;113,53,True
germain,5,3461,346,,,,m0,2,3460,3462,2,False,173,5;173,True
germain,5,3491,349,,,,m0,2,3490,3492,1,True,349,5;349,True
germain,5,3511,351,,,,m1,1,3512,3510,1,True,3;13,439,True
germain,5,3541,354,,,,m1,1,3542,3540,2,False,3;59,7;11;23,True
germain,5,3571,357,,,,m1,1,3572,3570,1,True,3;7;17,19;47,True
germain,5,3581,358,,,,m0,2,3580,3582,2,False,179,5;179,True
germain,5,3631,363,,,,m1,1,3632,3630,1,True,3;11,227,True
germain,5,3671,367,,,,m0,2,3670,3672,1,True,367,5;367,True
germain,5,3691,369,,,,m1,1,3692,3690,1,True,3;41,13;71,True
germain,5,3701,370,,,,m0,2,3700,3702,2,False,37,5;37,True
germain,5,3761,376,,,,m0,2,3760,3762,4,False,47,5;47,True
germain,5,3821,382,,,,m0,2,3820,3822,2,False,191,5;191,True
germain,5,3851,385,,,,m0,2,3850,3852,1,True,7;11,5;7;11,True
germain,5,3881,388,,,,m0,2,3880,3882,3,False,97,5;97,True
germain,5,3911,391,,,,m0,2,3910,3912,1,True,17;23,5;17;23,True
germain,5,3931,393,,,,m1,1,3932,3930,1,True,3;131,983,True
germain,5,4001,400,,,,m0,2,4000,4002,5,False,1,5,True
germain,5,4021,402,,,,m1,1,4022,4020,2,False,3;67,2011,True
germain,5,4051,405,,,,m1,1,4052,4050,1,True,3,1013,True
germain,5,4091,409,,,,m0,2,4090,4092,1,True,409,5;409,True
germain,5,4111,411,,,,m1,1,4112,4110,1,True,3;137,257,True
germain,5,4201,420,,,,m1,1,4202,4200,3,False,3;7,11;191,True
germain,5,4211,421,,,,m0,2,4210,4212,1,True,421,5;421,True
germain,5,4231,423,,,,m1,1,4232,4230,1,True,3;47,23,True
germain,5,4241,424,,,,m0,2,4240,4242,4,False,53,5;53,True
germain,5,4261,426,,,,m1,1,4262,4260,2,False,3;71,2131,True
germain,5,4271,427,,,,m0,2,4270,4272,1,True,7;61,5;7;61,True
germain,5,4391,439,,,,m0,2,4390,4392,1,True,439,5;439,True
germain,5,4421,442,,,,m0,2,4420,4422,2,False,13;17,5;13;17,True
germain,5,4441,444,,,,m1,1,4442,4440,3,False,3;37,2221,True
germain,5,4451,445,,,,m0,2,4450,4452,1,True,89,5;89,True
germain,5,4481,448,,,,m0,2,4480,4482,7,False,7,5;7,True
germain,5,4561,456,,,,m1,1,4562,4560,4,False,3;19,2281,True
germain,5,4591,459,,,,m1,1,4592,4590,1,True,3;17,7;41,True
germain,5,4621,462,,,,m1,1,4622,4620,2,False,3;7;11,2311,True
germain,5,4651,465,,,,m1,1,4652,4650,1,True,3;31,1163,True
germain,5,4691,469,,,,m0,2,4690,4692,1,True,7;67,5;7;67,True
germain,5,4721,472,,,,m0,2,4720,4722,4,False,59,5;59,True
germain,5,4751,475,,,,m0,2,4750,4752,1,True,19,5;19,True
germain,5,4801,480,,,,m1,1,4802,4800,6,False,3,7,True
germain,5,4831,483,,,,m1,1,4832,4830,1,True,3;7;23,151,True
germain,5,4861,486,,,,m1,1,4862,4860,2,False,3,11;13;17,True
germain,5,4871,487,,,,m0,2,4870,4872,1,True,487,5;487,True
germain,5,4931,493,,,,m0,2,4930,4932,1,True,17;29,5;17;29,True
germain,5,4951,495,,,,m1,1,4952,4950,1,True,3;11,619,True
germain,5,5011,501,,,,m1,1,5012,5010,1,True,3;167,7;179,True
germain,5,5021,502,,,,m0,2,5020,5022,2,False,251,5;251,True
germain,5,5051,505,,,,m0,2,5050,5052,1,True,101,5;101,True
germain,5,5081,508,,,,m0,2,5080,5082,3,False,127,5;127,True
germain,5,5101,510,,,,m1,1,5102,5100,2,False,3;17,2551,True
germain,5,5171,517,,,,m0,2,5170,5172,1,True,11;47,5;11;47,True
germain,5,5231,523,,,,m0,2,5230,5232,1,True,523,5;523,True
germain,5,5261,526,,,,m0,2,5260,5262,2,False,263,5;263,True
germain,5,5281,528,,,,m1,1,5282,5280,5,False,3;11,19;139,True
germain,5,5351,535,,,,m0,2,5350,5352,1,True,107,5;107,True
germain,5,5381,538,,,,m0,2,5380,5382,2,False,269,5;269,True
germain,5,5431,543,,,,m1,1,5432,5430,1,True,3;181,7;97,True
germain,5,5441,544,,,,m0,2,5440,5442,6,False,17,5;17,True
germain,5,5471,547,,,,m0,2,5470,5472,1,True,547,5;547,True
germain,5,5501,550,,,,m0,2,5500,5502,2,False,11,5;11,True
germain,5,5521,552,,,,m1,1,5522,5520,4,False,3;23,11;251,True
germain,5,5531,553,,,,m0,2,5530,5532,1,True,7;79,5;7;79,True
germain,5,5581,558,,,,m1,1,5582,5580,2,False,3;31,2791,True
germain,5,5591,559,,,,m0,2,5590,5592,1,True,13;43,5;13;43,True
germain,5,5641,564,,,,m1,1,5642,5640,3,False,3;47,7;13;31,True
germain,5,5651,565,,,,m0,2,5650,5652,1,True,113,5;113,True
germain,5,5701,570,,,,m1,1,5702,5700,2,False,3;19,2851,True
germain,5,5711,571,,,,m0,2,5710,5712,1,True,571,5;571,True
germain,5,5741,574,,,,m0,2,5740,5742,2,False,7;41,5;7;41,True
germain,5,5791,579,,,,m1,1,5792,5790,1,True,3;193,181,True
germain,5,5801,580,,,,m0,2,5800,5802,3,False,29,5;29,True
germain,5,5821,582,,,,m1,1,5822,5820,2,False,3;97,41;71,True
germain,5,5851,585,,,,m1,1,5852,5850,1,True,3;13,7;11;19,True
germain,5,5861,586,,,,m0,2,5860,5862,2,False,293,5;293,True
germain,5,5881,588,,,,m1,1,5882,5880,3,False,3;7,17;173,True
germain,5,5981,598,,,,m0,2,5980,5982,2,False,13;23,5;13;23,True
germain,5,6011,601,,,,m0,2,6010,6012,1,True,601,5;601,True
germain,5,6091,609,,,,m1,1,6092,6090,1,True,3;7;29,1523,True
