X,R_Pois,E1,E2
10000,1.044340,0.408387,3.761386
100000,1.052438,0.603715,6.950526
500000,1.038335,0.503048,6.601180
1000000,1.025814,0.356640,4.927165
5000000,1.027917,0.430623,6.642330
10000000,1.026236,0.422869,6.815836
50000000,1.025189,0.446540,7.916045
100000000,1.022424,0.413057,7.608783
500000000,1.019467,0.389928,7.810295
1000000000,1.018264,0.378500,7.843752
2200000000,1.017071,0.367218,7.899487
5000000000,1.015742,0.351554,7.851145
10000000000,1.014864,0.342253,7.880670
15000000000,1.014316,0.335446,7.859944
20000000000,1.013908,0.329888,7.824622
