X,H,R,wall_s_cumulative
10000,361,1.3792457668,0.1201
100000,2401,1.3024362382,0.1206
500000,9291,1.2429521173,0.1228
1000000,16688,1.2130476549,0.1257
5000000,68222,1.1865552885,0.2588
10000000,125661,1.1743353683,0.4002
50000000,527157,1.1524199859,1.6919
100000000,980292,1.1417096321,3.4353
500000000,4195019,1.1230778864,18.3678
1000000000,7877140,1.1159948705,38.2631
2200000000,16173662,1.1086541297,88.7195
5000000000,34296996,1.1014377230,213.7314
10000000000,64838984,1.0959885372,452.4535
15000000000,94178863,1.0929083623,703.9721
20000000000,122776796,1.0907624183,964.7345
