X,lam_lo,lam_hi,lam_mid,width,n_q,mu_emp,lam_mean,P0_emp,under,g_lam,var_N,mu_minus_var,var_over_mu,Q,Q_lam,exp_m_mu
100000000,0.20000000,0.23784142,0.21892071,0.03784142,268189,0.17308316,0.21786146,0.82987371,0.01119396,-0.02563685,0.14903912,0.02404404,0.86108388,1.10707072,-2.53545716,0.84106767
100000000,0.23784142,0.28284271,0.26034207,0.04500129,227767,0.29482322,0.25908111,0.72292299,0.02174023,0.04883743,0.24339490,0.05142832,0.82556218,1.13535556,2.55047198,0.74466322
100000000,0.28284271,0.33635857,0.30960064,0.05351586,193513,0.29757174,0.30810394,0.72050457,0.02211474,0.01433437,0.24517541,0.05239633,0.82392034,1.13669704,0.73678623,0.74261931
100000000,0.33635857,0.40000000,0.36817929,0.06364143,164449,0.30136395,0.36637150,0.71746864,0.02233983,-0.02422343,0.24820889,0.05315506,0.82361840,1.13617688,-1.23197451,0.73980847
100000000,0.40000000,0.47568285,0.43784143,0.07568285,139760,0.32784774,0.43571502,0.69714511,0.02332761,-0.05034308,0.27106480,0.05678294,0.82680089,1.14042002,-2.46112894,0.72047271
100000000,0.47568285,0.56568542,0.52068413,0.09000257,118849,0.45027724,0.51817520,0.60389233,0.03355906,-0.00828591,0.35899682,0.09128042,0.79727952,1.15349329,-0.28480362,0.63745140
100000000,0.56568542,0.67271713,0.61920127,0.10703171,100904,0.62650638,0.61625555,0.49347895,0.04097678,0.04648357,0.49309389,0.13341249,0.78705326,1.14936931,1.30383083,0.53445573
100000000,0.67271713,0.80000000,0.73635856,0.12728287,85751,0.65367168,0.73278906,0.47535306,0.04477945,0.00521373,0.50642840,0.14724328,0.77474429,1.16938972,0.13615358,0.52013251
100000000,0.80000000,0.95136569,0.87568285,0.15136569,73001,0.84894727,0.87140418,0.37947425,0.04839087,0.03888942,0.64896839,0.19997888,0.76443898,1.13110366,0.90901373,0.42786512
100000000,0.95136569,1.13137080,1.04136825,0.18000511,61963,0.98623372,1.03629968,0.32023950,0.05273929,0.03452550,0.74059128,0.24564244,0.75092877,1.15126880,0.75367209,0.37297879
100000000,1.13137080,1.34543430,1.23840255,0.21406350,52809,1.21604272,1.23231746,0.24520442,0.05119637,0.04641157,0.90806811,0.30797461,0.74674030,1.12169528,1.01686192,0.29640079
100000000,1.34543430,1.60000000,1.47271715,0.25456570,44899,1.41268180,1.46576464,0.19350097,0.04998845,0.03740040,1.03513261,0.37754919,0.73274294,1.08754199,0.81367807,0.24348942
100000000,1.60000000,1.90273140,1.75136570,0.30273140,38119,1.72260552,1.74320515,0.12954170,0.04905850,0.04541703,1.22392589,0.49867963,0.71050851,1.10164256,1.01987083,0.17860019
100000000,1.90273140,2.26274170,2.08273655,0.36001030,32476,2.01028452,2.07288414,0.09299175,0.04095881,0.03283062,1.44841006,0.56187446,0.72050003,1.08841247,0.87241930,0.13395056
100000000,2.26274170,2.69086850,2.47680510,0.42812680,27580,2.41537346,2.46495872,0.05493111,0.03440286,0.03008124,1.68866866,0.72670480,0.69913357,1.05986336,0.92672540,0.08933397
100000000,2.69086850,3.20000000,2.94543425,0.50913150,23531,2.87306107,2.93155839,0.03008797,0.02643766,0.02322592,1.98630884,0.88675223,0.69135629,1.05488542,0.92673422,0.05652563
100000000,3.20000000,3.80546280,3.50273140,0.60546280,19932,3.46051575,3.48519238,0.01555288,0.01586068,0.01509498,2.39353431,1.06698144,0.69166982,0.94640675,0.90071743,0.03141356
100000000,3.80546280,4.52548340,4.16547310,0.72002060,17047,4.09239162,4.14414196,0.00615944,0.01053981,0.00969759,2.76385776,1.32853386,0.67536492,0.95015235,0.87422714,0.01669925
