X,lam_lo,lam_hi,lam_mid,n_q,mu_emp,lam_mean,var_N,var_over_mu,under,P_N0,P_N1,P_N2,P_Nge3,m2_fact,m3_fact,m4_fact,kappa2F,kappa3F,kappa4F,S2,S3,S3_over_S2,Q,Q_2nd,Q_minus_Q2,rel_err_Q2,T,sign_k2_neg,sign_k3_pos,sign_k4_neg,sign_ok
100000000,0.5,0.59460356,0.54730178,113262,0.48432837,0.54463334,0.38941289,0.80402659,0.03367367,0.58243718,0.35382564,0.06074412,0.00299306,0.13965849,0.01859406,0.00084759,-0.09491548,0.042894007,-0.030715132,0.09491548,0.021447003,0.22595896,1.1516607,1.1269104,0.024750232,0.021490907,2.7936928,1,1,1,1
100000000,0.59460356,0.70710678,0.65085517,96429,0.64944156,0.64773202,0.50455488,0.77690575,0.04404766,0.47828973,0.40447376,0.10695952,0.01027699,0.27688766,0.06558193,0.00522664,-0.14488668,0.07395044,-0.061092454,0.14488668,0.03697522,0.25520096,1.1640544,1.1339123,0.030142065,0.025894035,3.0219932,1,1,1,1
100000000,0.70710678,0.84089642,0.7740016,81864,0.69509186,0.77036531,0.54348905,0.78189529,0.04352924,0.45549936,0.40856787,0.12179957,0.0141332,0.33154989,0.09425388,0.01260627,-0.15160281,0.074552009,-0.057578638,0.15160281,0.037276005,0.24587938,1.1507432,1.1260189,0.024724266,0.021485478,2.7767915,1,1,1,1
100000000,0.84089642,1,0.92044821,69611,0.89985778,0.91598509,0.68501973,0.76125333,0.0498017,0.35682579,0.42500467,0.18188217,0.03628737,0.59490598,0.25832124,0.05550847,-0.21483805,0.10963785,-0.089494008,0.21483805,0.054818924,0.25516395,1.1401611,1.1163998,0.023761347,0.020840341,2.5818635,1,1,1,1
100000000,1,1.1892071,1.0946035,59211,1.0227492,1.0894674,0.76935632,0.75224342,0.05212832,0.30747665,0.42252284,0.21544983,0.05455067,0.79262299,0.4327912,0.1495668,-0.25339283,0.14045132,-0.12147449,0.25339283,0.070225662,0.27714147,1.144152,1.1214128,0.022739187,0.019874272,2.6553772,1,1,1,1
100000000,1.1892071,1.4142136,1.3017104,50302,1.2866884,1.2953897,0.95154599,0.73953103,0.05146121,0.22472268,0.39217129,0.27356765,0.10953839,1.3204246,1.0265198,0.5792215,-0.33514241,0.18999246,-0.14738204,0.33514241,0.094996229,0.28345034,1.1119424,1.1051813,0.0067610686,0.0060804129,2.0620544,1,1,1,1
100000000,1.4142136,1.6817928,1.5480032,42789,1.5005258,1.5402993,1.1028357,0.73496617,0.0477108,0.17530206,0.35434341,0.30549908,0.16485545,1.8538877,1.8123817,1.3567973,-0.3976901,0.22406387,-0.15955078,0.3976901,0.11203194,0.28170663,1.0759002,1.0883819,-0.012481654,-0.011601125,1.398134,1,1,1,1
100000000,1.6817928,2,1.8408964,36459,1.7934392,1.8318745,1.2839461,0.71591281,0.04759597,0.11879097,0.30831893,0.31912559,0.2537645,2.7069311,3.3675636,3.3624619,-0.50949311,0.34033709,-0.37069203,0.50949311,0.17016855,0.33399577,1.122904,1.0952906,0.02761339,0.024591052,2.2639746,1,1,1,1
100000000,2,2.3784142,2.1892071,30998,2.111233,2.1785268,1.5041767,0.71246361,0.03972849,0.08136009,0.24746758,0.31711723,0.3540551,3.8502484,5.9661269,7.6874637,-0.6070563,0.40063001,-0.43393725,0.6070563,0.200315,0.32997764,1.0809358,1.068221,0.012714818,0.011762787,1.4908932,1,1,1,1
100000000,2.3784142,2.8284271,2.6034206,26319,2.5315551,2.5907409,1.767983,0.69837821,0.03162308,0.04791215,0.17797029,0.28705498,0.48706258,5.6451993,10.967742,18.325316,-0.76357219,0.54265885,-0.62988806,0.76357219,0.27132942,0.3553422,1.0414166,1.0460018,-0.0045851653,-0.0044028157,0.76292172,1,1,1,1
100000000,2.8284271,3.3635857,3.0960064,22480,3.0361655,3.080634,2.1007828,0.69191973,0.02359696,0.02442171,0.11979537,0.22798043,0.62780249,8.2829182,20.150979,43.339858,-0.93538268,0.68262166,-0.8164107,0.93538268,0.34131083,0.36488898,1.0507191,1.0094137,0.04130549,0.039311637,0.93428113,1,1,1,1
100000000,3.3635857,4,3.6817928,19085,3.6096411,3.6642779,2.4762812,0.68601867,0.0133859,0.01367566,0.06743516,0.16657061,0.75231857,11.896149,35.505161,95.114697,-1.1333599,0.7463787,-0.68081383,1.1333599,0.37318935,0.329277,0.87288479,0.93617802,-0.063293229,-0.072510403,-2.3415486,1,1,1,1
1000000000,0.5,0.59460356,0.54730178,881477,0.55455786,0.54464578,0.44757774,0.80708934,0.03509029,0.53923585,0.37336425,0.08109571,0.00630419,0.2005543,0.03943835,0.00215094,-0.10698012,0.046872728,-0.033334861,0.10698012,0.023436364,0.21907213,1.1422345,1.1193031,0.022931435,0.020075944,2.9475632,1,1,1,1
1000000000,0.59460356,0.70710678,0.65085517,748295,0.57741265,0.64770347,0.46254676,0.80106794,0.03680309,0.5245458,0.38068676,0.0876967,0.00707074,0.21853948,0.04458937,0.00288656,-0.11486589,0.051051943,-0.035985819,0.11486589,0.025525971,0.22222412,1.1415379,1.1194329,0.022104933,0.01936417,2.933127,1,1,1,1
1000000000,0.70710678,0.84089642,0.7740016,635445,0.75398815,0.77024334,0.59139454,0.78435522,0.0438311,0.42665534,0.41401065,0.13901439,0.02031962,0.40590452,0.13990511,0.02443642,-0.16259361,0.079045211,-0.061855388,0.16259361,0.039522605,0.24307601,1.1459398,1.1214023,0.024537501,0.021412557,3.0243487,1,1,1,1
1000000000,0.84089642,1,0.92044821,539314,0.86988471,0.91597174,0.67708315,0.77835964,0.04637092,0.37262893,0.42168199,0.17141962,0.03426946,0.56389784,0.2526098,0.06532743,-0.19280156,0.097513947,-0.082730486,0.19280156,0.048756973,0.25288682,1.1480249,1.1203908,0.02763404,0.024070943,3.0675586,1,1,1,1
1000000000,1,1.1892071,1.0946035,458178,1.0781421,1.0892796,0.8402832,0.77938074,0.04578907,0.29443797,0.41225681,0.22381258,0.06949264,0.92453151,0.60437647,0.28034519,-0.23785892,0.12049153,-0.10125532,0.23785892,0.060245765,0.25328361,1.1316277,1.109391,0.022236655,0.019650151,2.7277551,1,1,1,1
1000000000,1.1892071,1.4142136,1.3017104,389182,1.2526659,1.29544,0.96204246,0.76799608,0.04653519,0.23920685,0.39434249,0.26100899,0.10544167,1.2785483,1.0289428,0.63147833,-0.29062339,0.1554569,-0.12692162,0.29062339,0.077728449,0.26745421,1.120745,1.105647,0.015097996,0.013471393,2.5022299,1,1,1,1
