X,H,pi,H_over_pi,sparsity_pred,R,R_Pois,R_Pois_qm1,wall_s
10000,361,1229,0.293734743694,0.241068920007,1.37924576681,1.04434008885,1.04401466144,0.0573
100000,2401,9592,0.250312760634,0.212237138607,1.3024362382,1.05243801837,1.05239706791,0.0585
500000,9291,41538,0.223674707497,0.196177916182,1.24295211726,1.038335175,1.03832605436,0.0615
1000000,16688,78498,0.212591403603,0.190061156514,1.21304765487,1.02581447341,1.02580975479,0.0644
5000000,68222,348513,0.195751664931,0.177374092003,1.1865552885,1.02791727528,1.02791623355,0.0751
10000000,125661,664579,0.189083615341,0.172473389816,1.17433536834,1.02623563897,1.02623509896,0.0872
50000000,527157,3001134,0.175652603316,0.162183813626,1.15241998591,1.02518903911,1.02518892214,0.2800
100000000,980292,5761455,0.170146603592,0.158163209461,1.14170963205,1.02242352315,1.02242346292,0.5735
500000000,4195019,26355867,0.159168317248,0.149636511147,1.12307788643,1.01946706126,1.01946704839,2.8910
1000000000,7877140,50847534,0.154916853982,0.146273133127,1.11599487046,1.01826448652,1.01826447991,5.7980
2200000000,16173662,107540122,0.150396537583,0.142647709966,1.10865412967,1.01707058869,1.01707058559,12.5013
5000000000,34296996,234954223,0.145973098768,0.139080882228,1.10143772299,1.01574165421,1.01574165281,29.1368
10000000000,64838984,455052511,0.142486817307,0.13622156887,1.09598853722,1.01486386474,1.01486386402,58.0315
15000000000,94178863,670180516,0.140527605252,0.134609315787,1.09290836232,1.01431614567,1.01431614519,85.3737
20000000000,122776796,882206716,0.139170098995,0.133491150019,1.09076241831,1.0139081924,1.01390819203,112.4159
