X,bin_type,bin_lo,bin_hi,H_bin,P_bin,residual,rel
1000000,u,0.0,0.1,0,0.000000,0.000000,0.00000000
1000000,u,0.1,0.2,4,4.000000,0.000000,0.00000000
1000000,u,0.2,0.3,12,12.000000,0.000000,0.00000000
1000000,u,0.3,0.4,36,36.000000,0.000000,0.00000000
1000000,u,0.4,0.5,114,114.000000,0.000000,0.00000000
1000000,u,0.5,0.6,381,381.000000,0.000000,0.00000000
1000000,u,0.6,0.7,1298,1296.242196,1.757804,0.00135608
1000000,u,0.7,0.8,4037,3871.581693,165.418307,0.04272629
1000000,u,0.8,0.9,7116,6762.277190,353.722810,0.05230824
1000000,u,0.9,1.0,3690,3788.947806,-98.947806,-0.02611485
1000000,decade,1,10,2,2.000000,0.000000,0.00000000
1000000,decade,10,100,21,21.000000,0.000000,0.00000000
1000000,decade,100,1000,143,143.000000,0.000000,0.00000000
1000000,decade,1000,10000,1061,1060.956133,0.043867,0.00004135
1000000,decade,10000,100000,6852,6520.715246,331.284754,0.05080497
1000000,decade,100000,1000000,8609,8518.377506,90.622494,0.01063847
1000000,total_le_half,0,500000,16688,16266.048885,421.951115,0.02594060
10000000,u,0.0,0.1,1,1.000000,0.000000,0.00000000
10000000,u,0.1,0.2,6,6.000000,0.000000,0.00000000
10000000,u,0.2,0.3,21,21.000000,0.000000,0.00000000
10000000,u,0.3,0.4,84,84.000000,0.000000,0.00000000
10000000,u,0.4,0.5,332,332.000000,0.000000,0.00000000
10000000,u,0.5,0.6,1401,1401.000000,0.000000,0.00000000
10000000,u,0.6,0.7,5938,5937.839412,0.160588,0.00002704
10000000,u,0.7,0.8,24759,24093.599914,665.400086,0.02761730
10000000,u,0.8,0.9,54818,53884.574572,933.425428,0.01732268
10000000,u,0.9,1.0,38301,36685.471837,1615.528163,0.04403727
10000000,decade,1,10,2,2.000000,0.000000,0.00000000
10000000,decade,10,100,21,21.000000,0.000000,0.00000000
10000000,decade,100,1000,143,143.000000,0.000000,0.00000000
10000000,decade,1000,10000,1061,1061.000000,0.000000,0.00000000
10000000,decade,10000,100000,8363,8361.654655,1.345345,0.00016089
10000000,decade,100000,1000000,52976,50390.600156,2585.399844,0.05130718
10000000,decade,1000000,10000000,63095,62467.230924,627.769076,0.01004957
10000000,total_le_half,0,5000000,125661,122446.485735,3214.514265,0.02625240
100000000,u,0.0,0.1,1,1.000000,0.000000,0.00000000
100000000,u,0.1,0.2,9,9.000000,0.000000,0.00000000
100000000,u,0.2,0.3,42,42.000000,0.000000,0.00000000
100000000,u,0.3,0.4,196,196.000000,0.000000,0.00000000
100000000,u,0.4,0.5,979,979.000000,0.000000,0.00000000
100000000,u,0.5,0.6,5097,5097.000000,0.000000,0.00000000
