X,lam_lo,lam_hi,n_q,mu_emp,lam_mean,P0_emp,exp_m_mu,exp_m_lam,g,under,tilde_g,logX_g,var_N,var_over_mu,P_N0,P_N1,P_N2,P_Nge3,m2_fact,m3_fact,m4_fact,kappa2F,kappa3F,kappa4F,S2,S3
100000000,0.5,0.59460356,113262,0.48432837,0.54463334,0.58243718,0.61611086,0.58005442,-0.00238276,0.03367367,0.62029201,-0.04389200,0.38941289,0.80402659,0.58243718,0.35382564,0.06074412,0.00299306,0.13965849,0.01859406,0.00084759,-9.49154804e-02,4.28940069e-02,-3.07151319e-02,9.49154804e-02,2.14470034e-02
100000000,0.59460356,0.70710678,96429,0.64944156,0.64773202,0.47828973,0.52233739,0.52323111,0.04494138,0.04404766,0.81138796,0.82785086,0.50455488,0.77690575,0.47828973,0.40447376,0.10695952,0.01027699,0.27688766,0.06558193,0.00522664,-1.44886679e-01,7.39504397e-02,-6.10924543e-02,1.44886679e-01,3.69752198e-02
100000000,0.70710678,0.84089642,81864,0.69509186,0.77036531,0.45549936,0.49902861,0.46284396,0.00734459,0.04352924,0.80183824,0.13529240,0.54348905,0.78189529,0.45549936,0.40856787,0.12179957,0.01413320,0.33154989,0.09425388,0.01260627,-1.51602806e-01,7.45520089e-02,-5.75786379e-02,1.51602806e-01,3.72760045e-02
100000000,0.84089642,1,69611,0.89985778,0.91598509,0.35682579,0.40662749,0.40012227,0.04329649,0.04980170,0.91738116,0.79755074,0.68501973,0.76125333,0.35682579,0.42500467,0.18188217,0.03628737,0.59490598,0.25832124,0.05550847,-2.14838049e-01,1.09637849e-01,-8.94940081e-02,2.14838049e-01,5.48189245e-02
100000000,1,1.1892071,59211,1.02274915,1.08946737,0.30747665,0.35960497,0.33639562,0.02891897,0.05212832,0.96023914,0.53270707,0.76935632,0.75224342,0.30747665,0.42252284,0.21544983,0.05455067,0.79262299,0.43279120,0.14956680,-2.53392834e-01,1.40451324e-01,-1.21474491e-01,2.53392834e-01,7.02256619e-02
100000000,1.1892071,1.4142136,50302,1.28668840,1.29538972,0.22472268,0.27618388,0.27379114,0.04906847,0.05146121,0.94795043,0.90387456,0.95154599,0.73953103,0.22472268,0.39217129,0.27356765,0.10953839,1.32042464,1.02651982,0.57922150,-3.35142409e-01,1.89992457e-01,-1.47382040e-01,3.35142409e-01,9.49962286e-02
100000000,1.4142136,1.6817928,42789,1.50052584,1.54029927,0.17530206,0.22301286,0.21431695,0.03901489,0.04771080,0.87886537,0.71868082,1.10283573,0.73496617,0.17530206,0.35434341,0.30549908,0.16485545,1.85388768,1.81238169,1.35679731,-3.97690103e-01,2.24063873e-01,-1.59550780e-01,3.97690103e-01,1.12031937e-01
100000000,1.6817928,2,36459,1.79343921,1.83187448,0.11879097,0.16638695,0.16011316,0.04132219,0.04759597,0.87675026,0.76118281,1.28394609,0.71591281,0.11879097,0.30831893,0.31912559,0.25376450,2.70693107,3.36756356,3.36246194,-5.09493111e-01,3.40337092e-01,-3.70692030e-01,5.09493111e-01,1.70168546e-01
100000000,2,2.3784142,30998,2.11123298,2.17852684,0.08136009,0.12108857,0.11320818,0.03184809,0.03972849,0.73182577,0.58666356,1.50417668,0.71246361,0.08136009,0.24746758,0.31711723,0.35405510,3.85024840,5.96612685,7.68746371,-6.07056304e-01,4.00630011e-01,-4.33937250e-01,6.07056304e-01,2.00315005e-01
100000000,2.3784142,2.8284271,26319,2.53155515,2.59074095,0.04791215,0.07953523,0.07496447,0.02705232,0.03162308,0.58251866,0.49832215,1.76798296,0.69837821,0.04791215,0.17797029,0.28705498,0.48706258,5.64519929,10.96774194,18.32531631,-7.63572193e-01,5.42658846e-01,-6.29888063e-01,7.63572193e-01,2.71329423e-01
