X,bin_lo,bin_hi,H,P,resid,rel
1000000,0,0.125,0,0.000000,0.000000,0.00000000
1000000,0.125,0.25,2712,2564.743870,147.256130,0.05741553
1000000,0.25,0.5,3791,3707.192779,83.807221,0.02260665
1000000,0.5,1,3335,3347.256152,-12.256152,-0.00366155
1000000,1,2,2805,2653.268418,151.731582,0.05718667
1000000,2,4,1823,1777.005960,45.994040,0.02588288
1000000,4,8,1012,1006.694322,5.305678,0.00527040
1000000,8,16,556,555.962219,0.037781,0.00006796
1000000,16,32,293,292.999997,0.000003,0.00000001
1000000,32,64,162,162.000000,0.000000,0.00000000
1000000,64,inf,199,199.000000,0.000000,0.00000000
10000000,0,0.125,0,0.000000,0.000000,0.00000000
10000000,0.125,0.25,25737,25355.982830,381.017170,0.01502672
10000000,0.25,0.5,27450,26788.733489,661.266511,0.02468450
10000000,0.5,1,24511,23915.469233,595.530767,0.02490149
10000000,1,2,19934,18791.089326,1142.910674,0.06082195
10000000,2,4,12853,12452.819817,400.180183,0.03213571
10000000,4,8,7061,7027.709294,33.290706,0.00473706
10000000,8,16,3771,3770.746206,0.253794,0.00006731
10000000,16,32,2005,2004.999976,0.000024,0.00000001
10000000,32,64,1069,1069.000000,0.000000,0.00000000
10000000,64,inf,1270,1270.000000,0.000000,0.00000000
100000000,0,0.125,31357,24934.725932,6422.274068,0.25756345
100000000,0.125,0.25,209204,211277.206665,-2073.206665,-0.00981273
100000000,0.25,0.5,201223,202012.274343,-789.274343,-0.00390706
100000000,0.5,1,186949,179161.829040,7787.170960,0.04346445
100000000,1,2,147419,139952.410599,7466.589401,0.05335092
100000000,2,4,94289,91820.516494,2468.483506,0.02688379
100000000,4,8,51803,51585.419670,217.580330,0.00421786
100000000,8,16,27285,27283.168219,1.831781,0.00006714
100000000,16,32,14418,14417.999822,0.000178,0.00000001
100000000,32,64,7627,7627.000000,0.000000,0.00000000
100000000,64,inf,8718,8718.000000,0.000000,0.00000000
1000000000,0,0.125,597937,497817.594210,100119.405790,0.20111665
1000000000,0.125,0.25,1637737,1656003.643913,-18266.643913,-0.01103056
1000000000,0.25,0.5,1485124,1576069.376384,-90945.376384,-0.05770392
1000000000,0.5,1,1464612,1390908.279396,73703.720604,0.05298963
1000000000,1,2,1138221,1081074.748543,57146.251457,0.05286059
1000000000,2,4,722862,704805.096136,18056.903864,0.02561971
1000000000,4,8,394996,393529.945318,1466.054682,0.00372540
1000000000,8,16,206930,206917.063426,12.936574,0.00006252
1000000000,16,32,108345,108344.998661,0.001339,0.00000001
1000000000,32,64,56827,56827.000000,0.000000,0.00000000
1000000000,64,inf,63549,63549.000000,0.000000,0.00000000
10000000000,0,0.125,7077929,6175569.456462,902359.543538,0.14611763
10000000000,0.125,0.25,13182051,13320936.179387,-138885.179387,-0.01042608
10000000000,0.25,0.5,11853701,12631264.181839,-777563.181839,-0.06155862
10000000000,0.5,1,11503528,11104268.726312,399259.273688,0.03595548
10000000000,1,2,9016825,8592523.873156,424301.126844,0.04938027
10000000000,2,4,5707576,5578380.228204,129195.771796,0.02316009
10000000000,4,8,3109584,3098697.189825,10886.810175,0.00351335
10000000000,8,16,1620647,1620556.690472,90.309528,0.00005573
10000000000,16,32,843701,843700.989548,0.010452,0.00000001
10000000000,32,64,439753,439753.000000,0.000000,0.00000000
10000000000,64,inf,483689,483689.000000,0.000000,0.00000000
20000000000,0,0.125,14432038,12767429.912248,1664608.087752,0.13037926
20000000000,0.125,0.25,24799596,25059833.155771,-260237.155771,-0.01038463
20000000000,0.25,0.5,22312991,23738849.059697,-1425858.059697,-0.06006433
20000000000,0.5,1,21557090,20848157.888220,708932.111780,0.03400454
20000000000,1,2,16856380,16114034.905441,742345.094559,0.04606823
20000000000,2,4,10684329,10450029.266591,234299.733409,0.02242096
20000000000,4,8,5816184,5796258.864290,19925.135710,0.00343759
20000000000,8,16,3028165,3027998.601489,166.398511,0.00005495
20000000000,16,32,1573736,1573735.980504,0.019496,0.00000001
20000000000,32,64,819306,819306.000000,0.000000,0.00000000
20000000000,64,inf,896981,896981.000000,0.000000,0.00000000
