X,lam_lo,lam_hi,n_q,mu_emp,lam_mean,P0_emp,exp_m_mu,exp_m_lam,g
10000000,0.2,0.23784142,35477,0.16805254,0.21786525,0.83194746,0.84530942,0.80423381,-0.02771365
10000000,0.23784142,0.28284271,30122,0.22259478,0.25909409,0.78484164,0.80043914,0.77175040,-0.01309124
10000000,0.28284271,0.33635857,25631,0.33787211,0.30817494,0.68588818,0.71328651,0.73478676,0.04889858
10000000,0.33635857,0.4,21822,0.34327743,0.36644045,0.68105582,0.70944137,0.69319742,0.01214160
10000000,0.4,0.47568285,18539,0.34689034,0.43578613,0.67781434,0.70688284,0.64675603,-0.03105830
10000000,0.47568285,0.56568542,15801,0.40237960,0.51819214,0.63666857,0.66872685,0.59559633,-0.04107224
10000000,0.56568542,0.67271713,13485,0.53919169,0.61621182,0.53934001,0.58321948,0.53998613,0.00064612
10000000,0.67271713,0.8,11416,0.74115277,0.73296622,0.42422915,0.47656423,0.48048166,0.05625251
10000000,0.8,0.95136569,9780,0.77586912,0.87141955,0.40715746,0.46030355,0.41835725,0.01119978
10000000,0.95136569,1.1313708,8282,1.01448925,1.03625218,0.29799565,0.36258757,0.35478185,0.05678620
10000000,1.1313708,1.3454343,7101,1.15392198,1.23235141,0.25447120,0.31539736,0.29160609,0.03713489
10000000,1.3454343,1.6,6041,1.43933124,1.46585304,0.18506870,0.23708626,0.23088096,0.04581226
10000000,1.6,1.9027314,5111,1.67736255,1.74295749,0.13695950,0.18686618,0.17500207,0.03804257
10000000,1.9027314,2.2627417,4410,2.03832200,2.07262311,0.08163265,0.13024708,0.12585522,0.04422256
10000000,2.2627417,2.6908685,3717,2.41216034,2.46567153,0.05192359,0.08962147,0.08495178,0.03302818
10000000,2.6908685,3.2,3188,2.88205772,2.93149895,0.02634881,0.05601937,0.05331706,0.02696825
10000000,3.2,3.8054628,2723,3.41388175,3.48655355,0.01175174,0.03291319,0.03060617,0.01885443
10000000,3.8054628,4.5254834,2310,4.05238095,4.14746208,0.00476190,0.01738094,0.01580448,0.01104257
10000000,4.5254834,5.3817371,1973,4.87734415,4.93107266,0.00202737,0.00761722,0.00721876,0.00519139
