X,lam_lo,lam_hi,n_q,mu_emp,lam_mean,P0_emp,exp_m_mu,exp_m_lam,g,under,tilde_g,logX_g,var_N,var_over_mu,P_N0,P_N1,P_N2,P_Nge3
10000000,0.2,0.23784142,35477,0.16805254,0.21786525,0.83194746,0.84530942,0.80423381,-0.02771365,0.01336196,0.21536937,-0.44669131,0.13981088,0.83194746,0.83194746,0.16805254,0.00000000,0.00000000
10000000,0.23784142,0.28284271,30122,0.22259478,0.25909409,0.78484164,0.80043914,0.77175040,-0.01309124,0.01559749,0.25140188,-0.21100586,0.18791920,0.84422103,0.78484164,0.20772193,0.00743643,0.00000000
10000000,0.28284271,0.33635857,25631,0.33787211,0.30817494,0.68588818,0.71328651,0.73478676,0.04889858,0.02739832,0.44160880,0.78815197,0.27123513,0.80277454,0.68588818,0.29035153,0.02376029,0.00000000
10000000,0.33635857,0.4,21822,0.34327743,0.36644045,0.68105582,0.70944137,0.69319742,0.01214160,0.02838555,0.45752103,0.19569948,0.27410452,0.79849270,0.68105582,0.29461094,0.02433324,0.00000000
10000000,0.4,0.47568285,18539,0.34689034,0.43578613,0.67781434,0.70688284,0.64675603,-0.03105830,0.02906850,0.46852893,-0.50060070,0.27596679,0.79554474,0.67781434,0.29748099,0.02470468,0.00000000
10000000,0.47568285,0.56568542,15801,0.40237960,0.51819214,0.63666857,0.66872685,0.59559633,-0.04107224,0.03205829,0.51671852,-0.66200624,0.32046519,0.79642506,0.63666857,0.32523258,0.03714955,0.00094931
10000000,0.56568542,0.67271713,13485,0.53919169,0.61621182,0.53934001,0.58321948,0.53998613,0.00064612,0.04387947,0.70725356,0.01041429,0.41264644,0.76530562,0.53934001,0.38568780,0.07141268,0.00355951
10000000,0.67271713,0.8,11416,0.74115277,0.73296622,0.42422915,0.47656423,0.48048166,0.05625251,0.05233508,0.84354180,0.90668330,0.55256714,0.74555093,0.42422915,0.42510512,0.13621233,0.01445340
10000000,0.8,0.95136569,9780,0.77586912,0.87141955,0.40715746,0.46030355,0.41835725,0.01119978,0.05314608,0.85661366,0.18051920,0.58105369,0.74890684,0.40715746,0.42934560,0.14498978,0.01850716
10000000,0.95136569,1.1313708,8282,1.01448925,1.03625218,0.29799565,0.36258757,0.35478185,0.05678620,0.06459192,1.04109874,0.91528539,0.71193689,0.70176878,0.29799565,0.43793770,0.21806327,0.04600338
10000000,1.1313708,1.3454343,7101,1.15392198,1.23235141,0.25447120,0.31539736,0.29160609,0.03713489,0.06092616,0.98201361,0.59854364,0.81238745,0.70402285,0.25447120,0.41670187,0.25602028,0.07280665
10000000,1.3454343,1.6,6041,1.43933124,1.46585304,0.18506870,0.23708626,0.23088096,0.04581226,0.05201756,0.83842406,0.73840638,1.04817330,0.72823633,0.18506870,0.37179275,0.29365999,0.14947856
10000000,1.6,1.9027314,5111,1.67736255,1.74295749,0.13695950,0.18686618,0.17500207,0.03804257,0.04990668,0.80440060,0.61317375,1.20699880,0.71958134,0.13695950,0.32831149,0.32283311,0.21189591
10000000,1.9027314,2.2627417,4410,2.03832200,2.07262311,0.08163265,0.13024708,0.12585522,0.04422256,0.04861443,0.78357203,0.71278350,1.34070830,0.65775098,0.08163265,0.25396825,0.33537415,0.32902494
10000000,2.2627417,2.6908685,3717,2.41216034,2.46567153,0.05192359,0.08962147,0.08495178,0.03302818,0.03769788,0.60761800,0.53235138,1.59391185,0.66078188,0.05192359,0.18805488,0.31046543,0.44955609
10000000,2.6908685,3.2,3188,2.88205772,2.93149895,0.02634881,0.05601937,0.05331706,0.02696825,0.02967056,0.47823299,0.43467684,1.89826026,0.65864755,0.02634881,0.12296110,0.26787955,0.58281054
10000000,3.2,3.8054628,2723,3.41388175,3.48655355,0.01175174,0.03291319,0.03060617,0.01885443,0.02116145,0.34108223,0.30389749,2.29766995,0.67303736,0.01175174,0.08887257,0.18251928,0.71685641
10000000,3.8054628,4.5254834,2310,4.05238095,4.14746208,0.00476190,0.01738094,0.01580448,0.01104257,0.01261904,0.20339485,0.17798522,2.39855494,0.59188782,0.00476190,0.03679654,0.11168831,0.84675325
10000000,4.5254834,5.3817371,1973,4.87734415,4.93107266,0.00202737,0.00761722,0.00721876,0.00519139,0.00558985,0.09009770,0.08367526,3.10710455,0.63704846,0.00202737,0.01469843,0.06791688,0.91535732
10000000,5.3817371,6.4,1690,5.77573964,5.86184490,0.00000000,0.00310190,0.00284599,0.00284599,0.00310190,0.04999676,0.04587191,3.66272504,0.63415688,0.00000000,0.00828402,0.03491124,0.95680473
10000000,6.4,7.6109255,1439,6.92981237,6.97659419,0.00000000,0.00097818,0.00093348,0.00093348,0.00097818,0.01576647,0.01504587,4.14448301,0.59806569,0.00000000,0.00208478,0.00764420,0.99027102
10000000,7.6109255,8,365,7.89041096,7.80174084,0.00000000,0.00037432,0.00040902,0.00040902,0.00037432,0.00603326,0.00659266,5.02908613,0.63736682,0.00000000,0.00273973,0.00273973,0.99452055
100000000,0.2,0.23784142,268189,0.17308316,0.21786146,0.82987371,0.84106767,0.80423686,-0.02563685,0.01119396,0.20620035,-0.47224828,0.14903912,0.86108388,0.82987371,0.16716942,0.00295687,0.00000000
100000000,0.23784142,0.28284271,227767,0.29482322,0.25908111,0.72292299,0.74466322,0.77176042,0.04883743,0.02174023,0.40046986,0.89961876,0.24339490,0.82556218,0.72292299,0.25933081,0.01774621,0.00000000
100000000,0.28284271,0.33635857,193513,0.29757174,0.30810394,0.72050457,0.74261931,0.73483893,0.01433437,0.02211474,0.40736858,0.26404883,0.24517541,0.82392034,0.72050457,0.26141913,0.01807630,0.00000000
100000000,0.33635857,0.4,164449,0.30136395,0.36637150,0.71746864,0.73980847,0.69324521,-0.02422343,0.02233983,0.41151494,-0.44621198,0.24820889,0.82361840,0.71746864,0.26369878,0.01883259,0.00000000
100000000,0.4,0.47568285,139760,0.32784774,0.43571502,0.69714511,0.72047271,0.64680202,-0.05034308,0.02332761,0.42971037,-0.92735385,0.27106480,0.82680089,0.69714511,0.27821981,0.02427733,0.00035776
100000000,0.47568285,0.56568542,118849,0.45027724,0.51817520,0.60389233,0.63745140,0.59560642,-0.00828591,0.03355906,0.61818081,-0.15263215,0.35899682,0.79727952,0.60389233,0.34350310,0.05103955,0.00156501
100000000,0.56568542,0.67271713,100904,0.62650638,0.61625555,0.49347895,0.53445573,0.53996252,0.04648357,0.04097678,0.75482012,0.85625902,0.49309389,0.78705326,0.49347895,0.39588123,0.10151233,0.00912749
100000000,0.67271713,0.8,85751,0.65367168,0.73278906,0.47535306,0.52013251,0.48056679,0.00521373,0.04477945,0.82486796,0.09604052,0.50642840,0.77474429,0.47535306,0.40635095,0.10783548,0.01046052
100000000,0.8,0.95136569,73001,0.84894727,0.87140418,0.37947425,0.42786512,0.41836368,0.03888942,0.04839087,0.89139269,0.71636968,0.64896839,0.76443898,0.37947425,0.42267914,0.16862783,0.02921878
100000000,0.95136569,1.1313708,61963,0.98623372,1.03629968,0.32023950,0.37297879,0.35476500,0.03452550,0.05273929,0.97149369,0.63598328,0.74059128,0.75092877,0.32023950,0.42585091,0.20568726,0.04822233
100000000,1.1313708,1.3454343,52809,1.21604272,1.23231746,0.24520442,0.29640079,0.29161599,0.04641157,0.05119637,0.94307206,0.85493272,0.90806811,0.74674030,0.24520442,0.40171183,0.25969058,0.09339317
100000000,1.3454343,1.6,44899,1.41268180,1.46576464,0.19350097,0.24348942,0.23090137,0.03740040,0.04998845,0.92082126,0.68894079,1.03513261,0.73274294,0.19350097,0.37058732,0.29521816,0.14069356
100000000,1.6,1.9027314,38119,1.72260552,1.74320515,0.12954170,0.17860019,0.17495873,0.04541703,0.04905850,0.90369088,0.83661268,1.22392589,0.71050851,0.12954170,0.31884362,0.32157192,0.23004276
100000000,1.9027314,2.2627417,32476,2.01028452,2.07288414,0.09299175,0.13395056,0.12582237,0.03283062,0.04095881,0.75448917,0.60476238,1.44841006,0.72050003,0.09299175,0.26638133,0.31734204,0.32328489
100000000,2.2627417,2.6908685,27580,2.41537346,2.46495872,0.05493111,0.08933397,0.08501235,0.03008124,0.03440286,0.63372411,0.55411696,1.68866866,0.69913357,0.05493111,0.19488760,0.30036258,0.44981871
100000000,2.6908685,3.2,23531,2.87306107,2.93155839,0.03008797,0.05652563,0.05331389,0.02322592,0.02643766,0.48699976,0.42783727,1.98630884,0.69135629,0.03008797,0.13756321,0.24601589,0.58633292
100000000,3.2,3.8054628,19932,3.46051575,3.48519238,0.01555288,0.03141356,0.03064786,0.01509498,0.01586068,0.29216446,0.27805984,2.39353431,0.69166982,0.01555288,0.07876781,0.18252057,0.72315874
100000000,3.8054628,4.5254834,17047,4.09239162,4.14414196,0.00615944,0.01669925,0.01585704,0.00969759,0.01053981,0.19415040,0.17863629,2.76385776,0.67536492,0.00615944,0.04270546,0.12066639,0.83046870
100000000,4.5254834,5.3817371,14537,4.88168123,4.92992608,0.00261402,0.00758425,0.00722704,0.00461302,0.00497023,0.09155508,0.08497493,3.25531346,0.66684269,0.00261402,0.01877967,0.06473138,0.91387494
100000000,5.3817371,6.4,12304,5.79933355,5.86287666,0.00105657,0.00302957,0.00284305,0.00178649,0.00197301,0.03634412,0.03290830,3.83611464,0.66147508,0.00105657,0.00853381,0.02982770,0.96058192
100000000,6.4,7.6109255,10543,6.95731765,6.97347614,0.00037940,0.00095165,0.00093639,0.00055699,0.00057225,0.01054118,0.01026020,4.44719652,0.63921137,0.00037940,0.00123305,0.00995921,0.98842834
100000000,7.6109255,8,2708,7.72932053,7.80436047,0.00036928,0.00043974,0.00040795,0.00003868,0.00007047,0.00129804,0.00071244,4.68559525,0.60621050,0.00036928,0.00036928,0.00443131,0.99483013
