rank,label,form,digits,B,K_cert,n_kills,compression_ratio,q_mod_3,m0_note,wall_s,forb_s,walk_s,n_active_r,skipped_qmod0,reused,skipped,skip_reason,first_survivor,kill_table
1,2^136279841-1,Mersenne,41024320,10000000,28,9,4.55826e+06,1,m0=q+1=2^136279841 (pure 2-power sink),1.1700,0.0000,0.0000,0,0,1,0,,"k=28, ε=+1 (class B)",2:A:375373;4:B:5;8:A:13;10:B:11;14:A:1181;16:B:7;20:A:79;22:B:103;26:A:5
2,2^82589933-1,Mersenne,24862048,10000000,80,26,956233,1,m0=q+1=2^82589933 (pure 2-power sink),0.9880,0.9660,0.0220,664578,0,0,0,,"k=80, ε=-1 (class A)",2:A:37463;4:B:5;8:A:11;10:B:79;14:A:53;16:B:7;20:A:3359;22:B:31;26:A:5;28:B:56473;32:A:3203;34:B:5;38:A:29;40:B:17;44:A:59;46:B:157;50:A:41;52:B:89;56:A:5;58:B:7;62:A:17;64:B:5;68:A:7;70:B:13;74:A:11;76:B:113
3,2^77232917-1,Mersenne,23249425,10000000,14,4,5.81236e+06,1,m0=q+1=2^77232917 (pure 2-power sink),0.9556,0.9343,0.0212,664578,0,0,0,,"k=14, ε=-1 (class A)",2:A:11;4:B:5;8:A:13;10:B:31
4,2^74207281-1,Mersenne,22338618,10000000,2,0,2.23386e+07,1,m0=q+1=2^74207281 (pure 2-power sink),0.9044,0.8827,0.0216,664578,0,0,0,,"k=2, ε=-1 (class A)",
5,2^57885161-1,Mersenne,17425170,10000000,14,4,4.35629e+06,1,m0=q+1=2^57885161 (pure 2-power sink),0.9335,0.9114,0.0221,664578,0,0,0,,"k=14, ε=-1 (class A)",2:A:193;4:B:5;8:A:13;10:B:11
6,2524190^2097152+1,GFN,13426224,10000000,4,1,1.34262e+07,2,m0=q-1 (not a 2-power sink),0.7474,0.7252,0.0222,664578,0,0,0,,"k=4, ε=-1 (class A)",2:B:7
7,2^43112609-1,Mersenne,12978189,10000000,10,3,4.32606e+06,1,m0=q+1=2^43112609 (pure 2-power sink),0.9078,0.8850,0.0227,664578,0,0,0,,"k=10, ε=+1 (class B)",2:A:59;4:B:5;8:A:13
8,2^42643801-1,Mersenne,12837064,10000000,2,0,1.28371e+07,1,m0=q+1=2^42643801 (pure 2-power sink),0.9046,0.8814,0.0232,664578,0,0,0,,"k=2, ε=-1 (class A)",
9,516693^2097152-516693^1048576+1,GU,11981518,10000000,44,14,855823,1,m0=q+1 (not a 2-power sink),1.0703,1.0444,0.0259,664578,0,0,0,,"k=44, ε=-1 (class A)",2:A:37;4:B:5;8:A:23;10:B:11;14:A:13;16:B:7;20:A:1009;22:B:227;26:A:5;28:B:29;32:A:41;34:B:5;38:A:29017;40:B:31
10,465859^2097152-465859^1048576+1,GU,11887192,10000000,92,30,396240,1,m0=q+1 (not a 2-power sink),1.0639,1.0390,0.0250,664578,0,0,0,,"k=92, ε=-1 (class A)",2:A:1249;4:B:5;8:A:11;10:B:421;14:A:83;16:B:7;20:A:277;22:B:61;26:A:5;28:B:137;32:A:37;34:B:5;38:A:523;40:B:251;44:A:13;46:B:3559;50:A:151;52:B:631;56:A:5;58:B:7;62:A:3919;64:B:5;68:A:7;70:B:253543;74:A:11;76:B:31;80:A:23827;82:B:773;86:A:5;88:B:1217
11,2^37156667-1,Mersenne,11185272,10000000,44,14,798948,1,m0=q+1=2^37156667 (pure 2-power sink),0.9687,0.9441,0.0245,664578,0,0,0,,"k=44, ε=-1 (class A)",2:A:11;4:B:53;8:A:5;10:B:31;14:A:23;16:B:7;20:A:15493;22:B:5;26:A:7;28:B:13;32:A:347;34:B:601;38:A:5;40:B:73
12,2^32582657-1,Mersenne,9808358,10000000,20,6,1.63473e+06,1,m0=q+1=2^32582657 (pure 2-power sink),0.8754,0.8503,0.0251,664578,0,0,0,,"k=20, ε=-1 (class A)",2:A:11;4:B:5;8:A:13;10:B:31;14:A:5573;16:B:7
13,10223*2^31172165+1,Proth,9383761,10000000,20,6,1.56396e+06,2,m0=q-1 (not a 2-power sink),1.0265,1.0015,0.0251,664578,0,0,0,,"k=20, ε=+1 (class B)",2:B:5;4:A:4231;8:B:7;10:A:61;14:B:17;16:A:1453
14,2^30402457-1,Mersenne,9152052,10000000,82,27,338965,1,m0=q+1=2^30402457 (pure 2-power sink),0.9421,0.9121,0.0301,664578,0,0,0,,"k=82, ε=+1 (class B)",2:A:11;4:B:5;8:A:7;10:B:31;14:A:13;16:B:17;20:A:173;22:B:83;26:A:5;28:B:29;32:A:97;34:B:5;38:A:137;40:B:41299;44:A:43;46:B:3299;50:A:7;52:B:89;56:A:5;58:B:326539;62:A:3539;64:B:5;68:A:11;70:B:419;74:A:733;76:B:7;80:A:34877
