rank,label,form,digits,B,K_cert,n_kills,q_mod_3,m0_note,wall_s,forb_s,walk_s,n_active_r,skipped_qmod0,reused,kill_table
1,2^136279841-1,Mersenne,41024320,10000000,28,9,1,m0=q+1=2^136279841 (pure 2-power sink),1.1700,0.0000,0.0000,0,0,1,2:A:375373;4:B:5;8:A:13;10:B:11;14:A:1181;16:B:7;20:A:79;22:B:103;26:A:5
2,2^82589933-1,Mersenne,24862048,10000000,80,26,1,m0=q+1=2^82589933 (pure 2-power sink),0.9603,0.9387,0.0216,664578,0,0,2:A:37463;4:B:5;8:A:11;10:B:79;14:A:53;16:B:7;20:A:3359;22:B:31;26:A:5;28:B:56473;32:A:3203;34:B:5;38:A:29;40:B:17;44:A:59;46:B:157;50:A:41;52:B:89;56:A:5;58:B:7;62:A:17;64:B:5;68:A:7;70:B:13;74:A:11;76:B:113
3,2^77232917-1,Mersenne,23249425,10000000,14,4,1,m0=q+1=2^77232917 (pure 2-power sink),0.9506,0.9296,0.0210,664578,0,0,2:A:11;4:B:5;8:A:13;10:B:31
4,2^74207281-1,Mersenne,22338618,10000000,2,0,1,m0=q+1=2^74207281 (pure 2-power sink),0.8944,0.8728,0.0216,664578,0,0,
5,2^57885161-1,Mersenne,17425170,10000000,14,4,1,m0=q+1=2^57885161 (pure 2-power sink),0.9777,0.9363,0.0414,664578,0,0,2:A:193;4:B:5;8:A:13;10:B:11
6,2524190^2097152+1,GFN,13426224,10000000,4,1,2,m0=q-1 (not a 2-power sink),0.7338,0.7119,0.0219,664578,0,0,2:B:7
7,2^43112609-1,Mersenne,12978189,10000000,10,3,1,m0=q+1=2^43112609 (pure 2-power sink),0.8897,0.8673,0.0223,664578,0,0,2:A:59;4:B:5;8:A:13
8,2^42643801-1,Mersenne,12837064,10000000,2,0,1,m0=q+1=2^42643801 (pure 2-power sink),0.8966,0.8734,0.0232,664578,0,0,
9,516693^2097152-516693^1048576+1,GU,11981518,10000000,44,14,1,m0=q+1 (not a 2-power sink),1.0558,1.0324,0.0234,664578,0,0,2:A:37;4:B:5;8:A:23;10:B:11;14:A:13;16:B:7;20:A:1009;22:B:227;26:A:5;28:B:29;32:A:41;34:B:5;38:A:29017;40:B:31
10,465859^2097152-465859^1048576+1,GU,11887192,10000000,92,30,1,m0=q+1 (not a 2-power sink),1.0877,1.0617,0.0260,664578,0,0,2:A:1249;4:B:5;8:A:11;10:B:421;14:A:83;16:B:7;20:A:277;22:B:61;26:A:5;28:B:137;32:A:37;34:B:5;38:A:523;40:B:251;44:A:13;46:B:3559;50:A:151;52:B:631;56:A:5;58:B:7;62:A:3919;64:B:5;68:A:7;70:B:253543;74:A:11;76:B:31;80:A:23827;82:B:773;86:A:5;88:B:1217
