p door m factors_of_m added_to_S S_after
3	+3	0		—	{}
5	+1	4	2	2	{2}
7	+3	4	2	—	{2}
11	+3	8	2	—	{2}
13	+1	12	2·3	3	{2,3}
17	+1	16	2	—	{2,3}
19	+1	18	2·3	—	{2,3}
23	+3	20	2·5	5	{2,3,5}
29	+1	28	2·7	7	{2,3,5,7}
31	+1	30	2·3·5	—	{2,3,5,7}
37	+1	36	2·3	—	{2,3,5,7}
41	+1	40	2·5	—	{2,3,5,7}
43	+1	42	2·3·7	—	{2,3,5,7}
47	+3	44	2·11	11	{2,3,5,7,11}
53	+3	50	2·5	—	{2,3,5,7,11}
59	+3	56	2·7	—	{2,3,5,7,11}
61	+1	60	2·3·5	—	{2,3,5,7,11}
67	+1	66	2·3·11	—	{2,3,5,7,11}
71	+1	70	2·5·7	—	{2,3,5,7,11}
73	+1	72	2·3	—	{2,3,5,7,11}
79	+1	78	2·3·13	13	{2,3,5,7,11,13}
83	+3	80	2·5	—	{2,3,5,7,11,13}
89	+1	88	2·11	—	{2,3,5,7,11,13}
97	+1	96	2·3	—	{2,3,5,7,11,13}
101	+1	100	2·5	—	{2,3,5,7,11,13}
103	+3	100	2·5	—	{2,3,5,7,11,13}
107	+3	104	2·13	—	{2,3,5,7,11,13}
109	+1	108	2·3	—	{2,3,5,7,11,13}
113	+1	112	2·7	—	{2,3,5,7,11,13}
127	+1	126	2·3·7	—	{2,3,5,7,11,13}
131	+1	130	2·5·13	—	{2,3,5,7,11,13}
137	+1	136	2·17	17	{2,3,5,7,11,13,17}
139	+3	136	2·17	—	{2,3,5,7,11,13,17}
149	+1	148	2·37	37	{2,3,5,7,11,13,17,37}
151	+1	150	2·3·5	—	{2,3,5,7,11,13,17,37}
157	+1	156	2·3·13	—	{2,3,5,7,11,13,17,37}
163	+1	162	2·3	—	{2,3,5,7,11,13,17,37}
167	+3	164	2·41	41	{2,3,5,7,11,13,17,37,41}
173	+3	170	2·5·17	—	{2,3,5,7,11,13,17,37,41}
179	+3	176	2·11	—	{2,3,5,7,11,13,17,37,41}
181	+1	180	2·3·5	—	{2,3,5,7,11,13,17,37,41}
191	+1	190	2·5·19	19	{2,3,5,7,11,13,17,19,37,41}
193	+1	192	2·3	—	{2,3,5,7,11,13,17,19,37,41}
197	+1	196	2·7	—	{2,3,5,7,11,13,17,19,37,41}
199	+1	198	2·3·11	—	{2,3,5,7,11,13,17,19,37,41}
211	+1	210	2·3·5·7	—	{2,3,5,7,11,13,17,19,37,41}
223	+1	222	2·3·37	—	{2,3,5,7,11,13,17,19,37,41}
227	+3	224	2·7	—	{2,3,5,7,11,13,17,19,37,41}
229	+1	228	2·3·19	—	{2,3,5,7,11,13,17,19,37,41}
233	+3	230	2·5·23	23	{2,3,5,7,11,13,17,19,23,37,41}
239	+1	238	2·7·17	—	{2,3,5,7,11,13,17,19,23,37,41}
241	+1	240	2·3·5	—	{2,3,5,7,11,13,17,19,23,37,41}
251	+1	250	2·5	—	{2,3,5,7,11,13,17,19,23,37,41}
257	+1	256	2	—	{2,3,5,7,11,13,17,19,23,37,41}
263	+3	260	2·5·13	—	{2,3,5,7,11,13,17,19,23,37,41}
269	+3	266	2·7·19	—	{2,3,5,7,11,13,17,19,23,37,41}
271	+1	270	2·3·5	—	{2,3,5,7,11,13,17,19,23,37,41}
277	+1	276	2·3·23	—	{2,3,5,7,11,13,17,19,23,37,41}
281	+1	280	2·5·7	—	{2,3,5,7,11,13,17,19,23,37,41}
283	+3	280	2·5·7	—	{2,3,5,7,11,13,17,19,23,37,41}
