q,exponent,power,first_prime,first_preceding_misses,opportunities,hits,success_percent,exact_hits,exact_opportunities,exact_success_percent,next_power_percent,mean_gap,mean_misses,max_misses
5,1,5,11,0,666666,166111,24.916674916674918,132914,533333,24.92139057586911,19.984829421290584,60.20083077478779,3.013388718319186,41
5,2,25,101,1,133333,33197,24.897812244530613,26592,106667,24.929922093993458,19.896376178570353,301.220026509218,3.0162670201229065,33
5,3,125,251,0,26666,6605,24.769369234230858,5292,21333,24.80663760371256,19.87887963663891,1514.0063597819503,3.0374015748031495,35
5,4,625,1249,0,5333,1313,24.620288768048006,1037,4267,24.302788844621514,21.02056359482102,7620.045731707317,3.0640243902439024,23
5,5,3125,31249,3,1066,276,25.89118198874296,219,853,25.67409144196952,20.652173913043477,35931.818181818184,2.8327272727272725,20
5,6,15625,31249,0,213,57,26.76056338028169,46,171,26.900584795321635,19.298245614035086,175781.25,2.75,11
5,7,78125,1093751,4,42,11,26.190476190476193,9,34,26.47058823529412,18.181818181818183,718749.8,2.1,7
5,8,390625,3124999,2,8,2,25.0,1,6,16.666666666666664,50.0,4687500.0,3.0,3
5,9,1953125,7812499,1,2,1,50.0,1,2,50.0,0.0,,,
7,1,7,13,0,476190,110749,23.257313257313257,94978,408163,23.269625125256333,14.240309167577134,90.2938563224618,3.2997074439267524,41
7,2,49,97,0,68027,15771,23.183441868669792,13519,58309,23.185100070315045,14.279373533701097,634.0295497780596,3.313126188966392,33
7,3,343,1373,1,9718,2252,23.17349248816629,1934,8330,23.217286914765907,14.120781527531085,4439.342514438027,3.3140826299422477,37
7,4,2401,4801,0,1388,318,22.910662824207492,276,1190,23.19327731092437,13.20754716981132,31508.397476340695,3.3753943217665614,25
7,5,16807,33613,0,198,42,21.21212121212121,33,170,19.411764705882355,21.428571428571427,241036.9756097561,3.7804878048780486,24
7,6,117649,470597,1,28,9,32.142857142857146,6,24,25.0,33.33333333333333,970604.25,1.75,6
7,7,823543,3294173,1,4,3,75.0,3,4,75.0,0.0,2470629.0,0.0,0
11,1,11,23,0,303030,66487,21.940731940731943,60473,275482,21.951706463580198,9.045377291801405,150.40576963571277,3.5577565201696597,37
11,2,121,241,0,27548,6014,21.830985915492956,5474,25044,21.85753074588724,8.979048885932823,1662.6885082321637,3.5804091135872276,28
11,3,1331,2663,0,2504,540,21.56549520766773,491,2276,21.57293497363796,9.074074074074074,18535.224489795917,3.641929499072356,22
11,4,14641,117127,2,228,49,21.49122807017544,46,207,22.22222222222222,6.122448979591836,201313.75,3.5833333333333335,14
11,5,161051,6442039,13,21,3,14.285714285714285,3,19,15.789473684210526,0.0,1449459.0,2.0,3
11,6,1771561,,,2,0,0.0,0,2,0.0,,,,
13,1,13,53,1,256410,55427,21.616551616551615,51185,236686,21.625698182402,7.653309758781821,180.41864828780717,3.626114098076715,36
13,2,169,337,0,19724,4242,21.506793753802476,3913,18207,21.491733948481354,7.755775577557755,2357.472294270219,3.6498467342607874,35
13,3,2197,30757,4,1517,329,21.68754119973632,306,1400,21.857142857142858,6.990881458966565,30114.981707317074,3.5701219512195124,18
13,4,28561,285611,3,117,23,19.65811965811966,22,108,20.37037037037037,4.3478260869565215,418029.0909090909,3.8636363636363638,13
13,5,371293,2970343,2,9,1,11.11111111111111,1,8,12.5,0.0,,,
13,6,4826809,,,1,0,0.0,0,1,0.0,,,,
17,1,17,67,1,196078,41534,21.18238660125052,39084,184544,21.178689093116006,5.898781720999663,240.76941227457684,3.7209688681289577,48
17,2,289,577,0,11534,2450,21.241546731402806,2316,10856,21.33382461311717,5.469387755102041,4082.8191098407515,3.7092690894242546,25
17,3,4913,78607,5,678,134,19.76401179941003,125,638,19.59247648902821,6.7164179104477615,74249.0977443609,4.037593984962406,31
17,4,83521,1169293,4,40,9,22.5,9,38,23.684210526315788,0.0,897851.0,2.625,5
17,5,1419857,,,2,0,0.0,0,2,0.0,,,,
19,1,19,37,0,175438,36880,21.02167147368301,34954,166204,21.030781449303266,5.22234273318872,271.15409853846364,3.7570975351826243,38
19,2,361,2887,2,9234,1926,20.857699805068226,1812,8748,20.713305898491083,5.919003115264798,5192.774025974026,3.794805194805195,31
19,3,6859,27437,1,486,114,23.456790123456788,109,460,23.695652173913043,4.385964912280701,87406.72566371682,3.247787610619469,17
19,4,130321,3648989,9,26,5,19.230769230769234,4,24,16.666666666666664,20.0,1563852.0,3.0,7
19,5,2476099,9904397,1,2,1,50.0,1,2,50.0,0.0,,,
